tokenID,name,description,file_name,attributes[Pealce],attributes[Realm],attributes[Origin],attributes[Vision],attributes[Tone],attributes[Flow],Fire,attributes[Artifact],attributes[Tier]
17,AH!rchives #17,[ˈäl̪t̪er] ヒーロー,17.png,Double Dragon,Megah!,Nahki,Ye,Stoik,,Miya,,1
18,AH!rchives #18,[ˈäl̪t̪er] ヒーロー,18.png,,Runner,Seed,Ye,Candy,Fury,Pega,,1
19,AH!rchives #19,[ˈäl̪t̪er] ヒーロー,19.png,,Megah!,Maze,Stare,All Caps,Shiro,Nippon,,1
20,AH!rchives #20,[ˈäl̪t̪er] ヒーロー,20.png,,,White Label,,,,,,2
21,AH!rchives #21,[ˈäl̪t̪er] ヒーロー,21.png,,Off White,All Star,Watcher,!AH,Hoodie,Pega,,1
22,AH!rchives #22,[ˈäl̪t̪er] ヒーロー,22.png,,Sanctuary,Nahki,Surprised,Stoik,Shimokita,Seiya,,1
23,AH!rchives #23,[ˈäl̪t̪er] ヒーロー,23.png,Double Dragon,Astro,Clay,The Slayer,Stoik,,Faces,,1
24,AH!rchives #24,[ˈäl̪t̪er] ヒーロー,24.png,,Pak,Nova,Poska,Stoik,Hero,,,1
25,AH!rchives #25,[ˈäl̪t̪er] ヒーロー,25.png,,Doré,Düne,Slash,All Caps,Baller,King Of The Court,,1
26,AH!rchives #26,[ˈäl̪t̪er] ヒーロー,26.png,Figaro,Sanctuary,Metal Fingers,Poska,All Caps,,Halo,,1
27,AH!rchives #27,[ˈäl̪t̪er] ヒーロー,27.png,,Cream,Nebu,Bloody,Bored,Bō Staff,Seiya,,1
28,AH!rchives #28,[ˈäl̪t̪er] ヒーロー,28.png,,Red,Metal Fingers,Watcher,All Caps,Bō Staff,Bloodsport,,1
29,AH!rchives #29,[ˈäl̪t̪er] ヒーロー,29.png,,Fayah!,Maze,Bloody,All Caps,General,Lauriers,Supervillain,1
30,AH!rchives #30,[ˈäl̪t̪er] ヒーロー,30.png,,Cream,Nebu,Oracle,Stoik,Baller,Lauriers,,1
31,AH!rchives #31,[ˈäl̪t̪er] ヒーロー,31.png,,Runner,Seed,Surprised,Yamé,Okinawa,Onsen,,1
32,AH!rchives #32,[ˈäl̪t̪er] ヒーロー,32.png,The Next Episode,Orange,Clay,Mono,All Caps,,Lauriers,,1
33,AH!rchives #33,[ˈäl̪t̪er] ヒーロー,33.png,,Doré,Gumbo,A3000,Stoik,Tee,,!Chimp,1
34,AH!rchives #34,[ˈäl̪t̪er] ヒーロー,34.png,,P!nk,Seed,Prism,Quiet,Shimokita,,,2
35,AH!rchives #35,[ˈäl̪t̪er] ヒーロー,35.png,,Doré,Clay,Watcher,Bye.,Shiro,Seiya,,1
36,AH!rchives #36,[ˈäl̪t̪er] ヒーロー,36.png,,Blū,Geedorah,Shocked,Stoik,Clouds,!!,,1
37,AH!rchives #37,[ˈäl̪t̪er] ヒーロー,37.png,,Cream,Seed,Mono,Bored,Clouds,Birds,,1
38,AH!rchives #38,[ˈäl̪t̪er] ヒーロー,38.png,,Autumn,Seed,Mono,All Caps,Tee,,,1
39,AH!rchives #39,[ˈäl̪t̪er] ヒーロー,39.png,,Pømme,Nahki,The Slayer,Stoik,,,Meowzart,1
40,AH!rchives #40,[ˈäl̪t̪er] ヒーロー,40.png,The Next Episode,Rose,Nebu,Gaze,Stoik,,Halo,,1
41,AH!rchives #41,[ˈäl̪t̪er] ヒーロー,41.png,,Megah!,Düne,Watcher,Stoik,Rider,Mellow,,1
42,AH!rchives #42,[ˈäl̪t̪er] ヒーロー,42.png,The Shining,Neo,Nova,Tribe,All Caps,,Miya,,1
43,AH!rchives #43,[ˈäl̪t̪er] ヒーロー,43.png,,Red,Gumbo,Shocked,All Caps,Muraka,,,1
44,AH!rchives #44,[ˈäl̪t̪er] ヒーロー,44.png,,Pømme,All Star,Tribe,All Caps,,,,1
45,AH!rchives #45,[ˈäl̪t̪er] ヒーロー,45.png,,,First Press,,,,,,3
46,AH!rchives #46,[ˈäl̪t̪er] ヒーロー,46.png,,Rain,Golden,Mono,All Caps,Shimokita,King Of The Court,,1
47,AH!rchives #47,[ˈäl̪t̪er] ヒーロー,47.png,,Doré,Nahki,Stare,Curls,Baller,Lauriers,,1
48,AH!rchives #48,[ˈäl̪t̪er] ヒーロー,48.png,Double Nahki,Doré,Geedorah,Ye,Stoik,,Mellow,,1
49,AH!rchives #49,[ˈäl̪t̪er] ヒーロー,49.png,,P!nk,Redbone,Mono,Stoik,,,,1
50,AH!rchives #50,[ˈäl̪t̪er] ヒーロー,50.png,,Neo,Nebu,Bloody,All Caps,7th Chamber,Seiya,,1
51,AH!rchives #51,[ˈäl̪t̪er] ヒーロー,51.png,,Megah!,Gumbo,The Slayer,!AH,Tee,Mellow,,1
52,AH!rchives #52,[ˈäl̪t̪er] ヒーロー,52.png,,Blū,Clay,Mono,Stoik,Illest,,,2
53,AH!rchives #53,[ˈäl̪t̪er] ヒーロー,53.png,,Cream,Maze,Stare,All Caps,Baller,Onsen,,1
54,AH!rchives #54,[ˈäl̪t̪er] ヒーロー,54.png,,P!nk,All Star,The Slayer,!AH,Ronin,,,1
55,AH!rchives #55,[ˈäl̪t̪er] ヒーロー,55.png,Barz,P!nk,Gumbo,Bloody,Stoik,,Lauriers,,1
56,AH!rchives #56,[ˈäl̪t̪er] ヒーロー,56.png,,Rose,Seed,Prism,Stoik,Shiro,,White Noise,1
57,AH!rchives #57,[ˈäl̪t̪er] ヒーロー,57.png,Double Dragon,Dark Blū,Ogs,Hidden,Yamé,,Golf,,1
58,AH!rchives #58,[ˈäl̪t̪er] ヒーロー,58.png,,Dark Blū,Düne,Oracle,Stoik,Monk,Mellow,,1
59,AH!rchives #59,[ˈäl̪t̪er] ヒーロー,59.png,,Off White,Golden,The Slayer,Candy,Shiro,Seiya,,1
60,AH!rchives #60,[ˈäl̪t̪er] ヒーロー,60.png,,Cream,Odeya,Stare,Quiet,Shiro,,,1
61,AH!rchives #61,[ˈäl̪t̪er] ヒーロー,61.png,,Pak,Seed,Hidden,Quiet,Clouds,Golf,,1
62,AH!rchives #62,[ˈäl̪t̪er] ヒーロー,62.png,,Dark Blū,Seed,Mono,Stoik,General,Bloodsport,,1
63,AH!rchives #63,[ˈäl̪t̪er] ヒーロー,63.png,,Fayah!,Clay,A3000,All Caps,Muraka,Lauriers,,1
64,AH!rchives #64,[ˈäl̪t̪er] ヒーロー,64.png,Double Nahki,Pak,Nahki,Stare,Candy,,Lauriers,,1
65,AH!rchives #65,[ˈäl̪t̪er] ヒーロー,65.png,,Pømme,Redbone,Mono,Stoik,Okinawa,Nippon,,1
66,AH!rchives #66,[ˈäl̪t̪er] ヒーロー,66.png,,Cream,Clipse,The Slayer,Stoik,Illest,,,2
67,AH!rchives #67,[ˈäl̪t̪er] ヒーロー,67.png,,Black,All Star,The Slayer,Yamé,Illest,King Of The Court,,2
68,AH!rchives #68,[ˈäl̪t̪er] ヒーロー,68.png,,Off White,Metal Fingers,Mono,Stoik,!Champloo,Halo,,1
69,AH!rchives #69,[ˈäl̪t̪er] ヒーロー,69.png,,P!nk,Seed,Mercy,All Caps,Hoodie,,,1
70,AH!rchives #70,[ˈäl̪t̪er] ヒーロー,70.png,,Pak,Nova,Watcher,Vault,Hero,Bloodsport,,1
71,AH!rchives #71,[ˈäl̪t̪er] ヒーロー,71.png,,,First Press,,,,,,3
72,AH!rchives #72,[ˈäl̪t̪er] ヒーロー,72.png,Barz,Rain,Clay,Gaze,Stoik,,,!Chimp,1
73,AH!rchives #73,[ˈäl̪t̪er] ヒーロー,73.png,,Sanctuary,Seed,Tribe,Bored,Baller,Faces,,1
74,AH!rchives #74,[ˈäl̪t̪er] ヒーロー,74.png,,Rain,Maze,Gaze,All Caps,,,,1
75,AH!rchives #75,[ˈäl̪t̪er] ヒーロー,75.png,,Neo,Maze,Stare,Bye.,Shiro,Seiya,,1
76,AH!rchives #76,[ˈäl̪t̪er] ヒーロー,76.png,,Rain,Redbone,The Answer,All Caps,Rider,Bulls,,1
77,AH!rchives #77,[ˈäl̪t̪er] ヒーロー,77.png,,,First Press,,,,,,3
78,AH!rchives #78,[ˈäl̪t̪er] ヒーロー,78.png,,Off White,Redbone,Mono,Curls,Rider,,,1
79,AH!rchives #79,[ˈäl̪t̪er] ヒーロー,79.png,,Orange,Oshen,Ye,All Caps,Zanpah,Crown,,1
80,AH!rchives #80,[ˈäl̪t̪er] ヒーロー,80.png,,Orange,Clay,Sentinelle,Stoik,Shimokita,Pega,,1
81,AH!rchives #81,[ˈäl̪t̪er] ヒーロー,81.png,,Dream,Gumbo,Ye,All Caps,,Mellow,,1
82,AH!rchives #82,[ˈäl̪t̪er] ヒーロー,82.png,,Off White,Seed,Shocked,Stoik,Hoodie,Gangsta,,1
83,AH!rchives #83,[ˈäl̪t̪er] ヒーロー,83.png,,Red,Seed,Shocked,Yamé,General,Pega,,1
84,AH!rchives #84,[ˈäl̪t̪er] ヒーロー,84.png,,Pak,All Star,Watcher,Stoik,7th Chamber,,Meowzart,1
85,AH!rchives #85,[ˈäl̪t̪er] ヒーロー,85.png,,Off White,Nebu,The Slayer,Bored,Muraka,Seiya,,1
86,AH!rchives #86,[ˈäl̪t̪er] ヒーロー,86.png,,,First Press,,,,,,3
87,AH!rchives #87,[ˈäl̪t̪er] ヒーロー,87.png,,Rain,Nahki,Ye,Stoik,Rider,Seiya,,1
88,AH!rchives #88,[ˈäl̪t̪er] ヒーロー,88.png,,Rain,Maze,Surprised,All Caps,,Shift,,1
89,AH!rchives #89,[ˈäl̪t̪er] ヒーロー,89.png,,Autumn,Seed,Oracle,Stoik,Clouds,Faces,,1
90,AH!rchives #90,[ˈäl̪t̪er] ヒーロー,90.png,,Blū,Maze,Mono,All Caps,!Champloo,,Meowzart,1
91,AH!rchives #91,[ˈäl̪t̪er] ヒーロー,91.png,,Off White,Golden,The Slayer,All Caps,General,Onsen,,1
92,AH!rchives #92,[ˈäl̪t̪er] ヒーロー,92.png,,P!nk,Nova,Shocked,All Caps,!Champloo,Seiya,,1
93,AH!rchives #93,[ˈäl̪t̪er] ヒーロー,93.png,,Off White,Seed,A3000,All Caps,Avalanche,Lauriers,,1
94,AH!rchives #94,[ˈäl̪t̪er] ヒーロー,94.png,,Red,Geedorah,Ye,All Caps,,,Meowzart,1
95,AH!rchives #95,[ˈäl̪t̪er] ヒーロー,95.png,Double Dragon,Neo,Golden,Gaze,Stoik,,,!Chimp,1
96,AH!rchives #96,[ˈäl̪t̪er] ヒーロー,96.png,,Off White,Geedorah,Watcher,Golden T,Hero,Lauriers,,2
97,AH!rchives #97,[ˈäl̪t̪er] ヒーロー,97.png,,Megah!,Gumbo,Stare,Yamé,General,Halo,,1
98,AH!rchives #98,[ˈäl̪t̪er] ヒーロー,98.png,,Doré,Ogs,Slash,All Caps,General,,,1
99,AH!rchives #99,[ˈäl̪t̪er] ヒーロー,99.png,,Cream,Geedorah,Watcher,Stoik,Bō Staff,Shift,,1
100,AH!rchives #100,[ˈäl̪t̪er] ヒーロー,100.png,,,First Press,,,,,,3
101,AH!rchives #101,[ˈäl̪t̪er] ヒーロー,101.png,,Autumn,Seed,Bloody,All Caps,Clouds,Onsen,,1
102,AH!rchives #102,[ˈäl̪t̪er] ヒーロー,102.png,The Next Episode,Rose,Clay,Ye,!AH,,King Of The Court,,1
103,AH!rchives #103,[ˈäl̪t̪er] ヒーロー,103.png,,Meknah,Seed,Stare,Bored,Rider,Onsen,,1
104,AH!rchives #104,[ˈäl̪t̪er] ヒーロー,104.png,Double Dragon,Red,Gumbo,The Answer,Stoik,,Halo,,1
105,AH!rchives #105,[ˈäl̪t̪er] ヒーロー,105.png,,Cream,Golden,Ye,Bye.,Muraka,Lauriers,,1
106,AH!rchives #106,[ˈäl̪t̪er] ヒーロー,106.png,,Neo,Metal Fingers,Surprised,!AH,Tee,Mellow,,1
107,AH!rchives #107,[ˈäl̪t̪er] ヒーロー,107.png,,Pømme,Bahbū,Tribe,Stoik,Shiro,,,2
108,AH!rchives #108,[ˈäl̪t̪er] ヒーロー,108.png,,Pømme,Gumbo,Ye,Stoik,Prospect,Halo,,1
109,AH!rchives #109,[ˈäl̪t̪er] ヒーロー,109.png,,Pak,Düne,Ye,Stoik,Shimokita,,,1
110,AH!rchives #110,[ˈäl̪t̪er] ヒーロー,110.png,,Astro,Maze,Hidden,Stoik,Illest,Mellow,,2
111,AH!rchives #111,[ˈäl̪t̪er] ヒーロー,111.png,Barz,Rain,Nebu,Stare,All Caps,,Miya,,1
112,AH!rchives #112,[ˈäl̪t̪er] ヒーロー,112.png,,Rose,Seed,Gaze,Stoik,Hoodie,Extended Version,,1
113,AH!rchives #113,[ˈäl̪t̪er] ヒーロー,113.png,Barz,Pak,Nova,Tribe,Stoik,,,,1
114,AH!rchives #114,[ˈäl̪t̪er] ヒーロー,114.png,,P!nk,Seed,Comet,All Caps,,Mellow,,1
115,AH!rchives #115,[ˈäl̪t̪er] ヒーロー,115.png,,Rose,Nebu,Mono,!AH,Muraka,Golf,,1
116,AH!rchives #116,[ˈäl̪t̪er] ヒーロー,116.png,,Megah!,Metal Fingers,Poska,Stoik,Avalanche,Nippon,,1
117,AH!rchives #117,[ˈäl̪t̪er] ヒーロー,117.png,,Pømme,Geedorah,A3000,Stoik,Ronin,Lauriers,,1
118,AH!rchives #118,[ˈäl̪t̪er] ヒーロー,118.png,,Dark Blū,Seed,Prism,All Caps,Borea,Seiya,,2
119,AH!rchives #119,[ˈäl̪t̪er] ヒーロー,119.png,,Neo,Clay,Mono,All Caps,Hoodie,,,1
120,AH!rchives #120,[ˈäl̪t̪er] ヒーロー,120.png,,Rain,Redbone,Stare,Bored,Hero,Seiya,,1
121,AH!rchives #121,[ˈäl̪t̪er] ヒーロー,121.png,,Megah!,Redbone,The Slayer,All Caps,Rider,Bloodsport,,1
122,AH!rchives #122,[ˈäl̪t̪er] ヒーロー,122.png,,,First Press,,,,,,3
123,AH!rchives #123,[ˈäl̪t̪er] ヒーロー,123.png,,Blū,Redbone,The Slayer,All Caps,Shiro,King Of The Court,,1
124,AH!rchives #124,[ˈäl̪t̪er] ヒーロー,124.png,,Megah!,Maze,Comet,Stoik,Illest,,,2
125,AH!rchives #125,[ˈäl̪t̪er] ヒーロー,125.png,,Neo,Redbone,A3000,All Caps,Tee,Lauriers,,1
126,AH!rchives #126,[ˈäl̪t̪er] ヒーロー,126.png,,Neo,Nebu,The Slayer,Stoik,Illest,,,2
127,AH!rchives #127,[ˈäl̪t̪er] ヒーロー,127.png,,Orange,Geedorah,Hidden,All Caps,Borea,Golf,,2
128,AH!rchives #128,[ˈäl̪t̪er] ヒーロー,128.png,,Red,Golden,Stare,Quiet,Zanpah,,,1
129,AH!rchives #129,[ˈäl̪t̪er] ヒーロー,129.png,The Shining,Dark Blū,Clay,Watcher,Stoik,,,,1
130,AH!rchives #130,[ˈäl̪t̪er] ヒーロー,130.png,,Red,Seed,Ye,Stoik,Tee,Looper,,1
131,AH!rchives #131,[ˈäl̪t̪er] ヒーロー,131.png,,Orange,Clay,Ye,All Caps,Clouds,Halo,,1
132,AH!rchives #132,[ˈäl̪t̪er] ヒーロー,132.png,,Rain,Clipse,Hidden,All Caps,Capsule,Golf,,1
133,AH!rchives #133,[ˈäl̪t̪er] ヒーロー,133.png,,P!nk,Clay,Bloody,!AH,General,,,1
134,AH!rchives #134,[ˈäl̪t̪er] ヒーロー,134.png,,,White Label,,,,,,1
135,AH!rchives #135,[ˈäl̪t̪er] ヒーロー,135.png,,Red,Maze,The Answer,Stoik,,Lucid Dream,,1
136,AH!rchives #136,[ˈäl̪t̪er] ヒーロー,136.png,,Off White,Nahki,Watcher,!AH,Hero,Onsen,,1
137,AH!rchives #137,[ˈäl̪t̪er] ヒーロー,137.png,,Megah!,Seed,Mono,Golden T,Illest,,,2
138,AH!rchives #138,[ˈäl̪t̪er] ヒーロー,138.png,,Rain,Seed,Spirit,All Caps,General,Shift,,1
139,AH!rchives #139,[ˈäl̪t̪er] ヒーロー,139.png,,Pømme,Seed,Tribe,Bored,Muraka,Miya,,1
140,AH!rchives #140,[ˈäl̪t̪er] ヒーロー,140.png,Double Dragon,Rose,Maze,Hidden,All Caps,,Golf,,1
141,AH!rchives #141,[ˈäl̪t̪er] ヒーロー,141.png,Double Nahki,Pak,Redbone,Ye,Stoik,,Miya,,1
142,AH!rchives #142,[ˈäl̪t̪er] ヒーロー,142.png,,Cream,Maze,Comet,All Caps,Shimokita,,White Noise,1
143,AH!rchives #143,[ˈäl̪t̪er] ヒーロー,143.png,,Rain,All Star,Stare,Stoik,Illest,,,1
144,AH!rchives #144,[ˈäl̪t̪er] ヒーロー,144.png,,Cream,Ogs,Tribe,Stoik,Baller,Onsen,,1
145,AH!rchives #145,[ˈäl̪t̪er] ヒーロー,145.png,,Cream,Seed,Ye,Bye.,Swat,Nippon,,1
146,AH!rchives #146,[ˈäl̪t̪er] ヒーロー,146.png,,Pømme,Redbone,Watcher,Bored,Ronin,Lauriers,,1
147,AH!rchives #147,[ˈäl̪t̪er] ヒーロー,147.png,,Rose,Gumbo,The Slayer,Stoik,Hero,,Jurassik,1
148,AH!rchives #148,[ˈäl̪t̪er] ヒーロー,148.png,Double Dragon,Fayah!,Seed,Ye,Candy,,Nippon,,1
149,AH!rchives #149,[ˈäl̪t̪er] ヒーロー,149.png,,P!nk,Düne,The Slayer,Stoik,Ronin,Halo,,1
150,AH!rchives #150,[ˈäl̪t̪er] ヒーロー,150.png,,Meknah,Seed,Mono,Yamé,Shimokita,Looper,,1
151,AH!rchives #151,[ˈäl̪t̪er] ヒーロー,151.png,,Red,Seed,Watcher,!AH,Shiro,,,1
152,AH!rchives #152,[ˈäl̪t̪er] ヒーロー,152.png,Figaro,Megah!,Metal Fingers,Shocked,Stoik,,Onsen,,1
153,AH!rchives #153,[ˈäl̪t̪er] ヒーロー,153.png,The Shining,Pak,Gumbo,Mono,All Caps,,Golf,,2
154,AH!rchives #154,[ˈäl̪t̪er] ヒーロー,154.png,Double Nahki,Pømme,Golden,Comet,!AH,,,,1
155,AH!rchives #155,[ˈäl̪t̪er] ヒーロー,155.png,,Megah!,Seed,Stare,Candy,Ronin,Birds,,1
156,AH!rchives #156,[ˈäl̪t̪er] ヒーロー,156.png,Double Nahki,Doré,Golden,Watcher,All Caps,,Onsen,,1
157,AH!rchives #157,[ˈäl̪t̪er] ヒーロー,157.png,,,White Label,,,,,,1
158,AH!rchives #158,[ˈäl̪t̪er] ヒーロー,158.png,,Blū,Gumbo,Gaze,Stoik,Clouds,Shoe Deal,,1
159,AH!rchives #159,[ˈäl̪t̪er] ヒーロー,159.png,Figaro,Astro,Clay,Ye,Bored,,,!Chimp,2
160,AH!rchives #160,[ˈäl̪t̪er] ヒーロー,160.png,,P!nk,Redbone,The Answer,Quiet,,Nippon,,1
161,AH!rchives #161,[ˈäl̪t̪er] ヒーロー,161.png,,Blū,Seed,Stare,Kush,Shimokita,Lauriers,,2
162,AH!rchives #162,[ˈäl̪t̪er] ヒーロー,162.png,,Runner,Golden,Ye,All Caps,,,,1
163,AH!rchives #163,[ˈäl̪t̪er] ヒーロー,163.png,,Off White,Maze,The Slayer,!AH,Monk,,,1
164,AH!rchives #164,[ˈäl̪t̪er] ヒーロー,164.png,,Off White,Seed,Stare,Yamé,Shiro,,!Chimp,1
165,AH!rchives #165,[ˈäl̪t̪er] ヒーロー,165.png,,Pak,Clay,Surprised,!AH,Hero,,,1
166,AH!rchives #166,[ˈäl̪t̪er] ヒーロー,166.png,,Pømme,Nahki,Watcher,Vault,Hero,Mellow,,1
167,AH!rchives #167,[ˈäl̪t̪er] ヒーロー,167.png,,Rose,Nova,Prism,Stoik,Muraka,Mellow,,1
168,AH!rchives #168,[ˈäl̪t̪er] ヒーロー,168.png,,Cream,Maze,Shocked,All Caps,,,,1
169,AH!rchives #169,[ˈäl̪t̪er] ヒーロー,169.png,The Next Episode,P!nk,Oshen,Hidden,All Caps,,Golf,,1
170,AH!rchives #170,[ˈäl̪t̪er] ヒーロー,170.png,,Pømme,Metal Fingers,Watcher,Stoik,Avalanche,Mute,White Noise,1
171,AH!rchives #171,[ˈäl̪t̪er] ヒーロー,171.png,,Cream,Liquid,Ye,!AH,Capsule,,,1
172,AH!rchives #172,[ˈäl̪t̪er] ヒーロー,172.png,,Fayah!,Nahki,Ye,!AH,Muraka,Seiya,,2
173,AH!rchives #173,[ˈäl̪t̪er] ヒーロー,173.png,,Megah!,Metal Fingers,Watcher,Yamé,Clouds,Lauriers,,1
174,AH!rchives #174,[ˈäl̪t̪er] ヒーロー,174.png,Figaro,Rain,Düne,Slash,All Caps,,,Meowzart,1
175,AH!rchives #175,[ˈäl̪t̪er] ヒーロー,175.png,The Next Episode,Doré,Nebu,Hidden,Yamé,,Golf,,2
176,AH!rchives #176,[ˈäl̪t̪er] ヒーロー,176.png,,Astro,Düne,Slash,Stoik,!Champloo,Miya,!Sensei,1
177,AH!rchives #177,[ˈäl̪t̪er] ヒーロー,177.png,,Red,Clay,Tribe,Stoik,,,,1
178,AH!rchives #178,[ˈäl̪t̪er] ヒーロー,178.png,,Megah!,Gumbo,Watcher,!AH,Shimokita,Faces,,1
179,AH!rchives #179,[ˈäl̪t̪er] ヒーロー,179.png,,Off White,Düne,Bloody,Yamé,Hoodie,Beanie,,1
180,AH!rchives #180,[ˈäl̪t̪er] ヒーロー,180.png,,Red,Ogs,Poska,Stoik,,,Meowzart,1
181,AH!rchives #181,[ˈäl̪t̪er] ヒーロー,181.png,,Neo,All Star,The Slayer,Kookies,Fury,Seiya,,1
182,AH!rchives #182,[ˈäl̪t̪er] ヒーロー,182.png,,Dark Blū,All Star,Tribe,Stoik,Shimokita,Onsen,,1
183,AH!rchives #183,[ˈäl̪t̪er] ヒーロー,183.png,,Black,Ogs,Stare,Stoik,Avalanche,Mush,,1
184,AH!rchives #184,[ˈäl̪t̪er] ヒーロー,184.png,,Hyero,Gumbo,Ye,All Caps,Hero,Pega,,1
185,AH!rchives #185,[ˈäl̪t̪er] ヒーロー,185.png,,Red,Golden,Watcher,All Caps,Swat,Bloodsport,,1
186,AH!rchives #186,[ˈäl̪t̪er] ヒーロー,186.png,,Rose,Nova,Ye,All Caps,Fury,,,1
187,AH!rchives #187,[ˈäl̪t̪er] ヒーロー,187.png,The Next Episode,Doré,Clay,A3000,Stoik,,,,1
188,AH!rchives #188,[ˈäl̪t̪er] ヒーロー,188.png,,Rain,Golden,Tribe,All Caps,!Champloo,,Supervillain,2
189,AH!rchives #189,[ˈäl̪t̪er] ヒーロー,189.png,,,First Press,,,,,,3
190,AH!rchives #190,[ˈäl̪t̪er] ヒーロー,190.png,,Pak,Odeya,Mono,!AH,Bō Staff,Faces,,1
191,AH!rchives #191,[ˈäl̪t̪er] ヒーロー,191.png,,Neo,Düne,Prism,Stoik,Clouds,Lauriers,,1
192,AH!rchives #192,[ˈäl̪t̪er] ヒーロー,192.png,,Pømme,Golden,The Slayer,Bye.,,Golf,,1
193,AH!rchives #193,[ˈäl̪t̪er] ヒーロー,193.png,,P!nk,Clay,Ye,Stoik,Shiro,,,1
194,AH!rchives #194,[ˈäl̪t̪er] ヒーロー,194.png,The Next Episode,Dark Blū,Golden,The Slayer,Stoik,,Extended Version,,1
195,AH!rchives #195,[ˈäl̪t̪er] ヒーロー,195.png,,Blū,Seed,Tribe,All Caps,,,,2
196,AH!rchives #196,[ˈäl̪t̪er] ヒーロー,196.png,,Neo,Düne,Quartet,Stoik,Okinawa,Beanie,,1
197,AH!rchives #197,[ˈäl̪t̪er] ヒーロー,197.png,,Rain,All Star,The Slayer,!AH,Swat,,!Sensei,1
198,AH!rchives #198,[ˈäl̪t̪er] ヒーロー,198.png,,Orange,Redbone,Ye,Stoik,Tee,,,1
199,AH!rchives #199,[ˈäl̪t̪er] ヒーロー,199.png,,Cream,Maze,Stare,Quiet,Baller,Faces,,1
200,AH!rchives #200,[ˈäl̪t̪er] ヒーロー,200.png,,Red,Nova,The Slayer,Stoik,Hoodie,Nippon,,1
201,AH!rchives #201,[ˈäl̪t̪er] ヒーロー,201.png,,Sanctuary,Düne,Tribe,Stoik,Shimokita,Bloodsport,,1
202,AH!rchives #202,[ˈäl̪t̪er] ヒーロー,202.png,,Runner,Bahbū,Gaze,All Caps,General,,,2
203,AH!rchives #203,[ˈäl̪t̪er] ヒーロー,203.png,,Blū,Nova,Hidden,Vault,Hero,Golf,,1
204,AH!rchives #204,[ˈäl̪t̪er] ヒーロー,204.png,Barz,Neo,Clay,Surprised,Stoik,,Mellow,,1
205,AH!rchives #205,[ˈäl̪t̪er] ヒーロー,205.png,,Neo,Seed,Duo,Stoik,Rider,Bulls,,2
206,AH!rchives #206,[ˈäl̪t̪er] ヒーロー,206.png,The Shining,Off White,All Star,Ye,Vomitspit,,Onsen,,1
207,AH!rchives #207,[ˈäl̪t̪er] ヒーロー,207.png,,Blū,Liquid,Comet,All Caps,,,,1
208,AH!rchives #208,[ˈäl̪t̪er] ヒーロー,208.png,,,White Label,,,,,,1
209,AH!rchives #209,[ˈäl̪t̪er] ヒーロー,209.png,,Meknah,All Star,Stare,Quiet,,Golf,,1
210,AH!rchives #210,[ˈäl̪t̪er] ヒーロー,210.png,,Megah!,Seed,Watcher,Vault,General,Bloodsport,,1
211,AH!rchives #211,[ˈäl̪t̪er] ヒーロー,211.png,,Pak,Redbone,The Slayer,Stoik,Monk,Mellow,,1
212,AH!rchives #212,[ˈäl̪t̪er] ヒーロー,212.png,,Off White,Clay,Mono,Stoik,General,Extended Version,,1
